Final Results by SVD++, MAE: 0.678703, RMSE: 0.957811, NAME: 0.169676, rMAE: 0.641791, rRMSE: 0.990359, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.662693, RMSE: 0.973272, NAME: 0.165673, rMAE: 0.632836, rRMSE: 1.010394, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.719226, RMSE: 1.047564, NAME: 0.179806, rMAE: 0.690592, rRMSE: 1.073443, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.703840, RMSE: 1.023747, NAME: 0.175960, rMAE: 0.677094, rRMSE: 1.054996, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.705549, RMSE: 1.026175, NAME: 0.176387, rMAE: 0.676238, rRMSE: 1.055396, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '03:49','00:56'
Final Results by SVD++, MAE: 0.686387, RMSE: 0.971847, NAME: 0.171597, rMAE: 0.679303, rRMSE: 1.027790, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.667418, RMSE: 0.995349, NAME: 0.166854, rMAE: 0.644869, rRMSE: 1.034126, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.716300, RMSE: 1.024512, NAME: 0.179075, rMAE: 0.691542, rRMSE: 1.050468, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.703949, RMSE: 1.035370, NAME: 0.175987, rMAE: 0.669238, rRMSE: 1.054905, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by SVD++, MAE: 0.711761, RMSE: 0.998782, NAME: 0.177940, rMAE: 0.686623, rRMSE: 1.028136, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by UserSplitting-SVD++, MAE: 0.735600, RMSE: 1.045846, NAME: 0.183900, rMAE: 0.708375, rRMSE: 1.070662, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by UserSplitting-SVD++, MAE: 0.747230, RMSE: 1.062307, NAME: 0.186807, rMAE: 0.726083, rRMSE: 1.098841, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by UserSplitting-SVD++, MAE: 0.785920, RMSE: 1.115089, NAME: 0.196480, rMAE: 0.767578, rRMSE: 1.143938, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by UserSplitting-SVD++, MAE: 0.761082, RMSE: 1.070452, NAME: 0.190270, rMAE: 0.745681, rRMSE: 1.107902, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
Final Results by UserSplitting-SVD++, MAE: 0.755088, RMSE: 1.088281, NAME: 0.188772, rMAE: 0.754422, rRMSE: 1.125340, MPE: 0.000000, numFactors: 10, numIter: 100, lrate: 0.02, maxlrate: -1.0, regB: 1.0E-4, regU: 1.0E-4, regI: 1.0E-4, regC: 0.001, isBoldDriver: true, Time: '00:00','00:00'
